fail	Time
1	1483
1	1485
1	1589
1	1600
1	1616
1	1733
1	1744
1	1759
1	1760
1	1878
1	1923
1	1965
1	2361
1	2420
1	2608
1	2614
1	2636
1	2639
1	2808
1	2825
1	2852
1	3015
1	3016
1	3055
1	3095
1	3339
1	3499
1	3734
1	3796
1	3845
1	4033
1	4077
1	4131
1	4181
1	4360
1	4529
1	4893
1	5127
1	5232
1	5605
1	6067
1	6075
1	6471
1	6641
1	6701
1	6940
1	6954
1	7036
1	7125
1	7206
1	7708
1	7798
1	7801
1	7918
1	8040
1	8242
1	8277
1	8309
1	8409
1	8532
1	8584
1	8690
1	8724
1	8811
1	9070
1	9188
1	9219
1	9235
1	9323
1	9712
1	9817
1	9828
1	10108
1	10108
1	10946
1	11230
1	11590
1	11983
1	12218
1	12243
1	12665
1	12756
1	12877
1	12897
1	12917
1	12971
1	13031
1	13271
1	13370
1	13514
1	13709
1	13735
1	13739
1	13869
1	13936
1	14081
1	14154
1	14185
1	14191
1	14363
1	14460
1	14898
1	15035
1	15208
1	15293
1	15414
1	15485
1	15828
1	15951
1	15961
1	16328
1	16658
1	16720
1	16975
1	17153
1	17162
1	17214
1	17429
1	17518
1	17558
1	17626
1	17649
1	17851
1	17906
1	18024
1	18044
1	18269
1	18339
1	18639
1	18750
1	18858
1	19284
1	19328
1	19339
1	19349
1	19409
1	19474
1	19534
1	19570
1	19660
1	19686
1	20544
1	20780
1	21178
1	21231
1	21310
1	21369
1	21705
1	21924
1	22085
1	22134
1	22289
1	22380
1	22558
1	22734
1	22734
1	22828
1	23091
1	23183
1	23589
1	23610
1	23734
1	23782
1	23870
1	24214
1	24237
1	24716
1	24823
1	24917
1	26001
1	26320
1	26623
1	26754
1	26861
1	26934
1	27012
1	27044
1	27399
1	27427
1	27517
1	27565
1	27762
1	27921
1	27964
1	27991
1	28065
1	28117
1	28196
1	28215
1	28451
1	28623
1	28652
1	28769
1	28860
1	29062
1	29367
1	30037
1	30310
1	30311
1	30333
1	30586
1	30718
1	30846
1	31185
1	31482
1	31621
1	31633
1	32271
1	32378
1	32561
1	32947
1	32993
1	33228
1	33289
1	33339
1	33746
1	33809
1	34484
1	34551
1	34932
1	34958
1	35153
1	35307
1	35398
1	35409
1	35684
1	35720
1	35722
1	36149
1	36318
1	36450
1	36483
1	36638
1	36668
1	36696
1	36739
1	36967
1	37193
1	37593
1	37750
1	37790
1	37845
1	37873
1	38003
1	38218
1	38275
1	38355
1	38507
1	38784
1	39088
1	39116
1	39125
1	39201
1	39233
1	39353
1	39520
1	39948
1	40039
1	40132
1	40134
1	40136
1	40843
1	41163
1	41661
1	41720
1	41827
1	42084
1	42849
1	42858
1	42862
1	43452
1	43602
1	43648
1	44173
1	44323
1	44525
1	44556
1	44656
1	45505
1	45520
1	45748
1	46059
1	46504
1	46841
1	46995
1	47218
1	47267
1	47405
1	47490
1	47598
1	48112
1	48140
1	48226
1	48315
1	48528
1	48551
1	48693
1	48701
1	48895
1	48911
1	48941
1	48962
1	49075
1	49357
1	49884
1	49952
