fails	Time
1	1483
1	1485
1	1589
1	1600
1	1616
1	1733
1	1744
1	1759
1	1760
1	1878
1	1923
1	1965
1	2361
1	2420
1	2608
1	2614
1	2636
1	2639
1	2808
1	2825
1	2852
1	3015
1	3016
1	3055
1	3095
1	3339
1	3499
1	3734
1	3796
1	3845
1	4033
1	4077
1	4131
1	4181
1	4360
1	4529
1	4893
1	5127
1	5232
1	5605
1	6067
1	6075
1	6471
1	6641
1	6701
1	6940
1	6954
1	7036
1	7125
1	7206
1	7708
1	7798
1	7801
1	7918
1	8040
1	8242
1	8277
1	8309
1	8409
1	8532
1	8584
1	8690
1	8724
1	8811
1	9070
1	9188
1	9219
1	9235
1	9323
1	9712
1	9817
1	9828
1	10108
1	10108
1	10946
1	11230
1	11590
1	11983
1	12218
1	12243
1	12665
1	12756
1	12877
1	12897
1	12917
1	12971
1	13031
1	13271
1	13370
1	13514
1	13709
1	13735
1	13739
1	13869
1	13936
1	14081
1	14154
1	14185
1	14191
1	14363
1	14460
1	14898
1	15035
1	15208
1	15293
1	15414
1	15485
1	15828
1	15951
1	15961
1	16328
1	16658
1	16720
1	16975
1	17153
1	17162
1	17214
1	17429
1	17518
1	17558
1	17626
1	17649
1	17851
1	17906
1	18024
1	18044
1	18269
1	18339
1	18639
1	18750
1	18858
1	19284
1	19328
1	19339
1	19349
1	19409
1	19474
1	19534
1	19570
1	19660
1	19686
1	20544
1	20780
1	21178
1	21231
1	21310
1	21369
1	21705
1	21924
1	22085
1	22134
1	22289
1	22380
1	22558
1	22734
1	22734
1	22828
1	23091
1	23183
1	23589
1	23610
1	23734
1	23782
1	23870
1	24214
1	24237
1	24716
1	24823
1	24917
1	26001
1	26320
1	26623
1	26754
1	26861
1	26934
1	27012
1	27044
1	27399
1	27427
1	27517
1	27565
1	27762
1	27921
1	27964
1	27991
1	28065
1	28117
1	28196
1	28215
1	28451
1	28623
1	28652
1	28769
1	28860
1	29062
1	29367
1	30037
1	30310
1	30311
1	30333
1	30586
1	30718
1	30846
1	31185
1	31482
1	31621
1	31633
1	32271
1	32378
1	32561
1	32947
1	32993
1	33228
1	33289
1	33339
1	33746
1	33809
1	34484
1	34551
1	34932
1	34958
1	35153
1	35307
1	35398
1	35409
1	35684
1	35720
1	35722
1	36149
1	36318
1	36450
1	36483
1	36638
1	36668
1	36696
1	36739
1	36967
1	37193
1	37593
1	37750
1	37790
1	37845
1	37873
1	38003
1	38218
1	38275
1	38355
1	38507
1	38784
1	39088
1	39116
1	39125
1	39201
1	39233
1	39353
1	39520
1	39948
1	40039
1	40132
1	40134
1	40136
1	40843
1	41163
1	41661
1	41720
1	41827
1	42084
1	42849
1	42858
1	42862
1	43452
1	43602
1	43648
1	44173
1	44323
1	44525
1	44556
1	44656
1	45505
1	45520
1	45748
1	46059
1	46504
1	46841
1	46995
1	47218
1	47267
1	47405
1	47490
1	47598
1	48112
1	48140
1	48226
1	48315
1	48528
1	48551
1	48693
1	48701
1	48895
1	48911
1	48941
1	48962
1	49075
1	49357
1	49884
1	49952
1	50331
1	50606
1	50646
1	50686
1	50995
1	51086
1	51225
1	51536
1	51544
1	51554
1	51736
1	51761
1	51836
1	52047
1	52171
1	52277
1	52381
1	52430
1	52723
1	52964
1	53342
1	53377
1	53754
1	53890
1	54152
1	54227
1	54498
1	54684
1	54862
1	54905
1	55086
1	55104
1	55733
1	55843
1	55866
1	55897
1	56242
1	56245
1	56361
1	56621
1	57054
1	57113
1	57186
1	57522
1	57567
1	57707
1	57869
1	57938
1	58130
1	58132
1	58225
1	58343
1	58422
1	58439
1	58672
1	58899
1	58922
1	59037
1	59305
1	59373
1	59503
1	59562
1	59571
1	59642
1	60087
1	60111
1	60259
1	60476
1	61026
1	61257
1	61803
1	61990
1	62008
1	62553
1	62695
1	62728
1	62769
1	63080
1	63103
1	63149
1	63434
1	63440
1	63808
1	63876
1	63944
1	64160
1	64293
1	64312
1	64361
1	64420
1	64510
1	64649
1	64680
1	64725
1	64734
1	64885
1	64907
1	64986
1	65139
1	65596
1	66113
1	66136
1	66237
1	66334
1	66468
1	66510
1	66609
1	66611
1	66920
1	66978
1	67038
1	67164
1	67253
1	67350
1	67927
1	67986
1	68136
1	68253
1	68383
1	68704
1	68809
1	69326
1	69358
1	69377
1	69793
1	70181
1	70190
1	70209
1	70555
1	70739
1	71134
1	71285
1	71300
1	71361
1	71383
1	71530
1	71573
1	71908
1	71921
1	72474
1	72548
1	72577
1	72805
1	72881
1	72992
1	73014
1	73053
1	73182
1	73380
1	73556
1	73799
1	73846
1	73898
1	74002
1	74039
1	74166
1	74351
1	74517
1	74525
